04/12/2012 17:19:29,01397,1
04/12/2012 17:27:42,02504,1
04/12/2012 18:18:51,20088,1
04/12/2012 18:18:53,20088,1
04/12/2012 18:23:08,00510,1
04/12/2012 18:23:09,00510,1
04/12/2012 18:46:36,02110,1
04/12/2012 18:46:52,02549,1
04/12/2012 18:46:54,02549,1
04/12/2012 18:47:38,01899,1
04/12/2012 18:47:42,01899,1
04/12/2012 18:53:37,50146,1
04/12/2012 18:53:39,50146,1
04/12/2012 18:54:16,00594,1
04/12/2012 18:54:36,00594,1
04/12/2012 18:55:53,02607,1
04/12/2012 18:58:02,62434,1
04/12/2012 18:58:03,62434,1
04/12/2012 18:58:16,02223,1
04/12/2012 18:58:40,02233,1
04/12/2012 18:59:08,55605,1
04/12/2012 19:01:07,02634,1
04/12/2012 19:01:11,02634,1
04/12/2012 19:01:15,02634,1
04/12/2012 19:01:26,22512,1
04/12/2012 19:01:37,02581,1
04/12/2012 19:02:25,05969,1
04/12/2012 19:02:27,05969,1
04/12/2012 19:02:45,02611,1
04/12/2012 19:02:49,02611,1
04/12/2012 19:02:53,02611,1
04/12/2012 19:03:35,02634,1
04/12/2012 19:03:39,02634,1
04/12/2012 19:04:15,50151,1
04/12/2012 19:04:51,01734,1
04/12/2012 19:05:09,02374,1
04/12/2012 19:05:34,90766,1
04/12/2012 19:05:51,62094,1
04/12/2012 19:05:57,02557,1
04/12/2012 19:06:11,05740,1
04/12/2012 19:07:15,21113,1
04/12/2012 19:07:31,01342,1
04/12/2012 19:07:43,11760,1
04/12/2012 19:08:09,00489,1
04/12/2012 19:08:27,00489,1
04/12/2012 19:09:27,01831,1
04/12/2012 19:09:29,01831,1
04/12/2012 19:09:32,01831,1
04/12/2012 19:10:52,05924,1
04/12/2012 19:10:54,05924,1
04/12/2012 19:11:13,01935,1
04/12/2012 19:13:17,01435,1
04/12/2012 19:13:23,23099,1
04/12/2012 19:16:35,00976,1
04/12/2012 19:22:25,20719,1
04/12/2012 19:23:58,02349,1
04/12/2012 19:24:01,02349,1
04/12/2012 19:29:49,07805,1
04/12/2012 19:29:51,07805,1
04/12/2012 19:35:53,05447,1
05/12/2012 06:29:10,01539,1
05/12/2012 06:29:15,01539,1
05/12/2012 06:29:18,01539,1
05/12/2012 06:30:37,20088,1
05/12/2012 06:30:40,20088,1
05/12/2012 06:30:42,63182,1
05/12/2012 06:30:43,63182,1
05/12/2012 06:33:53,02385,1
05/12/2012 06:40:53,02570,1
05/12/2012 06:41:11,02570,1
